,hour,day_of_week,month,year,day_of_year,week_of_year,is_weekend,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,month_sin,month_cos,Temperature,Cloudiness,Irradiation,PublicHolidays,temp_squared,temp_hour_interaction,cloud_irradiation_interaction,load_lag1,load_lag2,load_lag3,load_lag24,load_lag48,load_lag168,load_rolling_mean_6h,load_rolling_mean_12h,load_rolling_mean_24h,temp_lag1,temp_lag24,Load,Load_Lower,Load_Upper
2014-12-09 18:00:00,18.0,1.0,12.0,2014.0,343.0,50.0,0.0,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0,4.949999999999999,5.725,0.22499999999999998,0.0,24.502499999999994,89.1,1.2881249999999997,24256.193359375,24386.439453125,23519.671875,23964.2,19902.7,24385.1,23638.017578125,22868.7412109375,21120.17060546875,4.949999999999999,3.5,23974.566,23597.754,24351.379
2014-12-09 19:00:00,19.0,1.0,12.0,2014.0,343.0,50.0,0.0,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0,4.15,5.8,0.22499999999999998,0.0,17.222500000000004,78.85000000000001,1.305,23974.56640625,24256.193359375,24386.439453125,23840.0,19998.4,24221.6,23769.3515625,23178.813248697916,21120.602457682293,4.949999999999999,2.8,23778.809,23401.996,24155.621
2014-12-09 20:00:00,20.0,1.0,12.0,2014.0,343.0,50.0,0.0,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0,4.15,5.8,0.22499999999999998,0.0,17.222500000000004,83.0,1.305,23778.80859375,23974.56640625,24256.193359375,23105.5,19459.1,23434.4,23846.986328125,23320.021484375,21118.052408854168,4.15,2.8,23130.85,22754.037,23507.662
2014-12-09 21:00:00,21.0,1.0,12.0,2014.0,343.0,50.0,0.0,-0.7071067811865477,0.7071067811865474,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0,4.15,5.8,0.22499999999999998,0.0,17.222500000000004,87.15,1.305,23130.849609375,23778.80859375,23974.56640625,21569.8,18598.9,21945.9,23841.087890625,23350.677734375,21119.108072916668,4.15,2.8,21643.66,21266.848,22020.473
2014-12-09 22:00:00,22.0,1.0,12.0,2014.0,343.0,50.0,0.0,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0,3.6,6.8,0.22499999999999998,0.0,12.96,79.2,1.5299999999999998,21643.66015625,23130.849609375,23778.80859375,19961.3,17610.1,20344.3,23528.421875,23276.8125,21122.18525390625,4.15,1.6,20090.148,19713.336,20466.96
2014-12-09 23:00:00,23.0,1.0,12.0,2014.0,343.0,50.0,0.0,-0.25881904510252157,0.9659258262890681,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0,3.6,6.8,0.22499999999999998,0.0,12.96,82.8,1.5299999999999998,20090.1484375,21643.66015625,23130.849609375,18540.4,16445.8,18895.2,22812.369140625,23102.259765625,21127.553857421877,3.6,1.6,18484.068,18107.256,18860.88
2014-12-10 00:00:00,0.0,2.0,12.0,2014.0,344.0,50.0,0.0,0.0,1.0,0.9749279121818236,-0.22252093395631434,-2.4492935982947064e-16,1.0,3.6,6.8,0.2,0.0,12.96,0.0,1.36,18484.068359375,20090.1484375,21643.66015625,17504.9,15560.4,17788.7,21850.3515625,22744.185546875,21125.208333333332,3.6,1.6,17209.848,16833.035,17586.66
2014-12-10 01:00:00,1.0,2.0,12.0,2014.0,344.0,50.0,0.0,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434,-2.4492935982947064e-16,1.0,3.125,6.9,0.2,0.0,9.765625,3.125,1.3800000000000001,17209.84765625,18484.068359375,20090.1484375,16752.2,14983.3,17022.9,20722.896484375,22246.123046875,21112.914160156248,3.6,1.3,16462.225,16085.413,16839.037
2014-12-10 02:00:00,2.0,2.0,12.0,2014.0,344.0,50.0,0.0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,-2.4492935982947064e-16,1.0,3.125,6.9,0.2,0.0,9.765625,6.25,1.3800000000000001,16462.224609375,17209.84765625,18484.068359375,16441.7,14851.6,16691.6,19503.466796875,21675.2265625,21100.831119791666,3.125,1.3,16328.204,15951.393,16705.016
2014-12-10 03:00:00,3.0,2.0,12.0,2014.0,344.0,50.0,0.0,0.7071067811865476,0.7071067811865476,0.9749279121818236,-0.22252093395631434,-2.4492935982947064e-16,1.0,3.125,6.9,0.2,0.0,9.765625,9.375,1.3800000000000001,16328.2041015625,16462.224609375,17209.84765625,16457.3,14992.2,16647.5,18369.69140625,21105.388671875,21096.1037109375,3.125,1.3,16484.576,16107.765,16861.389
2014-12-10 04:00:00,4.0,2.0,12.0,2014.0,344.0,50.0,0.0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,-2.4492935982947064e-16,1.0,3.3750000000000004,6.325,0.2,0.0,11.390625000000004,13.500000000000002,1.2650000000000001,16484.576171875,16328.2041015625,16462.224609375,16744.8,15413.2,16962.4,17509.845703125,20519.130859375,21097.238671875002,3.125,-0.1,16729.13,16352.319,17105.943
2014-12-10 05:00:00,5.0,2.0,12.0,2014.0,344.0,50.0,0.0,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434,-2.4492935982947064e-16,1.0,3.3750000000000004,6.325,0.2,0.0,11.390625000000004,16.875000000000004,1.2650000000000001,16729.130859375,16484.576171875,16328.2041015625,17577.1,16375.8,17705.1,16949.67578125,19881.021484375,21096.587011718748,3.3750000000000004,-0.1,17229.273,16852.46,17606.086
2014-12-10 06:00:00,6.0,2.0,12.0,2014.0,344.0,50.0,0.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,-2.4492935982947064e-16,1.0,3.3750000000000004,6.325,0.2,0.0,11.390625000000004,20.250000000000004,1.2650000000000001,17229.2734375,16729.130859375,16484.576171875,20253.7,19367.7,20383.3,16740.54296875,19295.4453125,21082.093912760418,3.3750000000000004,-0.1,19723.26,19346.447,20100.072
2014-12-10 07:00:00,7.0,2.0,12.0,2014.0,344.0,50.0,0.0,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,-2.4492935982947064e-16,1.0,2.875,6.824999999999999,0.2,0.0,8.265625,20.125,1.365,19723.259765625,17229.2734375,16729.130859375,22084.3,21605.6,22243.6,17159.4453125,18941.169921875,21059.992154947915,3.3750000000000004,-0.2,21344.023,20967.21,21720.836
